node_name,op_type,device,time_us,time_ms
z4V6pEf9di,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,474.0,0.474
ajNU9PSBvd,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,438.0,0.438
oRIbZ4dOpQ,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,414.0,0.414
bxIBHz6FLU,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,406.0,0.406
LS7cJaXE4P,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,370.0,0.37
RLNGUewO1D,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,316.0,0.316
FPIyWsHwLo,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,260.0,0.26
maX0fCkuSd,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,257.0,0.257
2X4Wz0ykNw,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,240.0,0.24
l2WuxUNhRQ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,227.0,0.227
Vn7qBHdZzK,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,217.0,0.217
eLBijfUXz2,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,212.0,0.212
dw06y7brUM,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,203.0,0.203
CkAUDI2lEL,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,202.0,0.202
arm9UMzeHc,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,186.0,0.186
im4bcnwys8,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,185.0,0.185
l0amZfwME3,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,184.0,0.184
XMxyNvTOEu,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,184.0,0.184
05Pm4pYNZL,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,182.0,0.182
ecrz1PByYV,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,181.0,0.181
5TKtFGc8Iu,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,178.0,0.178
3K0LOArzkU,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,177.0,0.177
1XjS6wGNOa,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,175.0,0.175
tnuZwDMaGC,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,173.0,0.173
XTWp52Jtwq,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,169.0,0.169
LHT71IpFWc,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,168.0,0.168
RQ7rDInmPj,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,165.0,0.165
rQxaqlOCeZ,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,165.0,0.165
2VnU6CidFY,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,162.0,0.162
ivb8Uz72j1,MatMul,/job:localhost/replica:0/task:0/device:GPU:0,157.0,0.157
gCbHv31zfL,BatchMatMulV2,/job:localhost/replica:0/task:0/device:GPU:0,156.0,0.156
IWzmwG06jL,GatherV2,/job:localhost/replica:0/task:0/device:GPU:0,156.0,0.156
