node_name,op_type,device,time_us,time_ms
Mz3SEY4fcG,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,4423.0,4.423
hOFHulfJcd,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,4150.0,4.15
tWyo3H047N,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,4092.0,4.092
6fWOgQD7Mi,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,4036.0,4.036
ipY2Fdvuq4,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,3621.0,3.621
Oyh1xKT6jJ,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,3574.0,3.574
xhBfPLO3F8,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,3470.0,3.47
p1BefhjKEr,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,2482.0,2.482
9VCi4RmTId,Pack,/job:localhost/replica:0/task:0/device:MUSA:0,1519.0,1.519
zh4aKlEAWM,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,1007.0,1.007
J3WqFOn7ao,ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,874.0,0.874
3FwvhB2OST,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,674.0,0.674
TnHZmrUwxu,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,670.0,0.67
OxpcFqDstS,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,665.0,0.665
iKh69ZrToQ,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,663.0,0.663
PE3UHtuNQa,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,660.0,0.66
WahI5lpoZ7,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,659.0,0.659
KD2wmTMjF5,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,656.0,0.656
Zpyd91om25,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,655.0,0.655
gNXDb2oi5J,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,655.0,0.655
vjzqxmo0h3,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,653.0,0.653
JQvyN0WlF5,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,649.0,0.649
q7ZMfdWRiF,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,648.0,0.648
V3jUia2MEP,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,646.0,0.646
cny8WbPNtG,Cast,/job:localhost/replica:0/task:0/device:MUSA:0,645.0,0.645
BDNXSanZwU,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,645.0,0.645
JInWeB4MhU,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,644.0,0.644
9pRsXVenNf,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,643.0,0.643
K9nTw0vDQG,Slice,/job:localhost/replica:0/task:0/device:MUSA:0,643.0,0.643
