op_type,musa_time_us,cuda_time_us,time_us_diff_musa_minus_cuda,musa_count,cuda_count,count_diff_musa_minus_cuda
AddN,63311.0,684.0,62627.0,54,54,0
SplitV,21733.0,3857.0,17876.0,3,3,0
StridedSlice,9508.0,1635.0,7873.0,167,167,0
Prod,7203.0,1121.0,6082.0,150,150,0
RealDiv,5713.0,1198.0,4515.0,203,204,-1
Mul,5650.0,1190.0,4460.0,145,145,0
Mean,5206.0,772.0,4434.0,80,80,0
Select,5242.0,834.0,4408.0,85,85,0
Pow,5177.0,1302.0,3875.0,193,194,-1
Relu,3495.0,800.0,2695.0,120,122,-2
Sub,3524.0,916.0,2608.0,132,132,0
Fill,3138.0,574.0,2564.0,57,57,0
ExpandDims,2588.0,70.0,2518.0,34,36,-2
AddV2,3357.0,944.0,2413.0,131,131,0
Reshape,2968.0,864.0,2104.0,483,482,1
Add,2763.0,812.0,1951.0,116,118,-2
Equal,1923.0,504.0,1419.0,30,30,0
Pack,1689.0,370.0,1319.0,117,117,0
Minimum,1497.0,230.0,1267.0,37,37,0
NotEqual,1752.0,596.0,1156.0,32,32,0
ConcatV2,7881.0,6747.0,1134.0,164,164,0
MatMul,8044.0,6916.0,1128.0,294,298,-4
Const,1420.0,298.0,1122.0,191,190,1
Maximum,1370.0,317.0,1053.0,38,38,0
Unpack,1225.0,174.0,1051.0,49,49,0
SquaredDifference,1103.0,224.0,879.0,33,33,0
Rsqrt,1024.0,234.0,790.0,37,37,0
LogicalAnd,889.0,119.0,770.0,13,13,0
Sign,843.0,86.0,757.0,9,9,0
Slice,1170.0,418.0,752.0,16,16,0
Log,963.0,224.0,739.0,28,28,0
Sum,997.0,325.0,672.0,38,38,0
BatchMatMulV2,1399.0,738.0,661.0,32,32,0
Exp,529.0,61.0,468.0,13,13,0
IsNan,491.0,77.0,414.0,15,15,0
Sigmoid,413.0,86.0,327.0,15,15,0
Greater,371.0,103.0,268.0,4,4,0
Cast,550.0,360.0,190.0,47,46,1
Tanh,339.0,169.0,170.0,19,19,0
Tile,351.0,194.0,157.0,28,28,0
Transpose,299.0,151.0,148.0,18,18,0
Neg,150.0,61.0,89.0,8,8,0
LogicalOr,199.0,123.0,76.0,14,14,0
Split,80.0,28.0,52.0,3,3,0
ZerosLike,140.0,95.0,45.0,7,7,0
LogicalNot,56.0,24.0,32.0,2,2,0
Less,47.0,30.0,17.0,5,5,0
DiagPart,22.0,9.0,13.0,1,1,0
Square,17.0,11.0,6.0,2,2,0
Softmax,92.0,86.0,6.0,5,5,0
Sqrt,8.0,5.0,3.0,2,2,0
Unknown,0.0,0.0,0.0,2,2,0
Identity,2.0,8.0,-6.0,2,2,0
RandomUniform,52.0,89.0,-37.0,5,5,0
Shape,296.0,413.0,-117.0,134,134,0
Squeeze,52.0,181.0,-129.0,53,53,0
GatherV2,200.0,407.0,-207.0,21,21,0
Placeholder,487.0,1187.0,-700.0,1782,1782,0
Where,70.0,2513.0,-2443.0,16,16,0
__TOTAL__,191078.0,42564.0,148514.0,5534,5543,-9
