op_type,device,count,time_us,time_ms,avg_us_per_call
Slice,/job:localhost/replica:0/task:0/device:GPU:0,1544,18710.0,18.71,12.117875647668393
Const,/job:localhost/replica:0/task:0/device:GPU:0,956,13848.0,13.848,14.485355648535565
MatMul,/job:localhost/replica:0/task:0/device:GPU:0,164,5024.0,5.024,30.634146341463413
ConcatV2,/job:localhost/replica:0/task:0/device:GPU:0,88,3522.0,3.522,40.02272727272727
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,967,1802.0,1.802,1.8634953464322648
RealDiv,/job:localhost/replica:0/task:0/device:GPU:0,130,1275.0,1.275,9.807692307692308
Reshape,/job:localhost/replica:0/task:0/device:GPU:0,429,1213.0,1.213,2.8275058275058274
Sub,/job:localhost/replica:0/task:0/device:GPU:0,126,905.0,0.905,7.182539682539683
Pow,/job:localhost/replica:0/task:0/device:GPU:0,117,856.0,0.856,7.316239316239316
Unpack,/job:localhost/replica:0/task:0/device:GPU:0,102,677.0,0.677,6.637254901960785
Prod,/job:localhost/replica:0/task:0/device:GPU:0,63,599.0,0.599,9.507936507936508
Conv2D,/job:localhost/replica:0/task:0/device:GPU:0,4,594.0,0.594,148.5
Shape,/job:localhost/replica:0/task:0/device:GPU:0,137,522.0,0.522,3.81021897810219
Pack,/job:localhost/replica:0/task:0/device:GPU:0,134,476.0,0.476,3.5522388059701493
Add,/job:localhost/replica:0/task:0/device:GPU:0,61,475.0,0.475,7.786885245901639
BiasAdd,/job:localhost/replica:0/task:0/device:GPU:0,59,471.0,0.471,7.983050847457627
Fill,/job:localhost/replica:0/task:0/device:GPU:0,35,471.0,0.471,13.457142857142857
Mul,/job:localhost/replica:0/task:0/device:GPU:0,61,446.0,0.446,7.311475409836065
ZerosLike,/job:localhost/replica:0/task:0/device:GPU:0,18,418.0,0.418,23.22222222222222
RandomUniform,/job:localhost/replica:0/task:0/device:GPU:0,18,396.0,0.396,22.0
Split,/job:localhost/replica:0/task:0/device:GPU:0,12,384.0,0.384,32.0
AddV2,/job:localhost/replica:0/task:0/device:GPU:0,59,376.0,0.376,6.372881355932203
Select,/job:localhost/replica:0/task:0/device:GPU:0,35,349.0,0.349,9.971428571428572
Cast,/job:localhost/replica:0/task:0/device:GPU:0,11,275.0,0.275,25.0
SquaredDifference,/job:localhost/replica:0/task:0/device:GPU:0,17,255.0,0.255,15.0
Relu,/job:localhost/replica:0/task:0/device:GPU:0,33,227.0,0.227,6.878787878787879
StridedSlice,/job:localhost/replica:0/task:0/device:GPU:0,21,206.0,0.206,9.80952380952381
