op_type,device,count,time_us,time_ms,avg_us_per_call
Abs,/job:localhost/replica:0/task:0/device:MUSA:0,1,12.0,0.012,12.0
Add,/job:localhost/replica:0/task:0/device:MUSA:0,52,1517.0,1.517,29.173076923076923
AddN,/job:localhost/replica:0/task:0/device:MUSA:0,7,109904.0,109.904,15700.57142857143
AddV2,/job:localhost/replica:0/task:0/device:MUSA:0,58,2075.0,2.075,35.775862068965516
BatchMatMulV2,/job:localhost/replica:0/task:0/device:MUSA:0,6,178.0,0.178,29.666666666666668
BitwiseAnd,/job:localhost/replica:0/task:0/device:MUSA:0,3,29944.0,29.944,9981.333333333334
Cast,/job:localhost/replica:0/task:0/device:MUSA:0,11,3636.0,3.636,330.54545454545456
ConcatV2,/job:localhost/replica:0/task:0/device:MUSA:0,59,9758.0,9.758,165.38983050847457
Const,/job:localhost/replica:0/task:0/device:MUSA:0,158,2987.0,2.987,18.90506329113924
Const,/job:localhost/replica:0/task:0/device:CPU:0,2,3.0,0.003,1.5
Conv2D,/job:localhost/replica:0/task:0/device:MUSA:0,4,1234.0,1.234,308.5
Einsum,/job:localhost/replica:0/task:0/device:MUSA:0,2,81.0,0.081,40.5
Equal,/job:localhost/replica:0/task:0/device:MUSA:0,12,7176.0,7.176,598.0
Equal,/job:localhost/replica:0/task:0/device:CPU:0,2,10.0,0.01,5.0
Exp,/job:localhost/replica:0/task:0/device:MUSA:0,5,37.0,0.037,7.4
ExpandDims,/job:localhost/replica:0/task:0/device:MUSA:0,2,25.0,0.025,12.5
Fill,/job:localhost/replica:0/task:0/device:MUSA:0,35,8922.0,8.922,254.9142857142857
Greater,/job:localhost/replica:0/task:0/device:MUSA:0,5,2148.0,2.148,429.6
GreaterEqual,/job:localhost/replica:0/task:0/device:MUSA:0,2,27.0,0.027,13.5
Less,/job:localhost/replica:0/task:0/device:MUSA:0,20,1621.0,1.621,81.05
Log,/job:localhost/replica:0/task:0/device:MUSA:0,19,172.0,0.172,9.052631578947368
Log1p,/job:localhost/replica:0/task:0/device:MUSA:0,4,29.0,0.029,7.25
MatMul,/job:localhost/replica:0/task:0/device:MUSA:0,164,4668.0,4.668,28.463414634146343
Max,/job:localhost/replica:0/task:0/device:MUSA:0,2,44.0,0.044,22.0
Maximum,/job:localhost/replica:0/task:0/device:MUSA:0,9,149.0,0.149,16.555555555555557
Mean,/job:localhost/replica:0/task:0/device:MUSA:0,17,1418.0,1.418,83.41176470588235
Minimum,/job:localhost/replica:0/task:0/device:MUSA:0,9,207.0,0.207,23.0
Mul,/job:localhost/replica:0/task:0/device:MUSA:0,52,2622.0,2.622,50.42307692307692
Neg,/job:localhost/replica:0/task:0/device:MUSA:0,8,65.0,0.065,8.125
Neg,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Pack,/job:localhost/replica:0/task:0/device:MUSA:0,156,27223.0,27.223,174.50641025641025
Pad,/job:localhost/replica:0/task:0/device:MUSA:0,1,19.0,0.019,19.0
Placeholder,/job:localhost/replica:0/task:0/device:CPU:0,967,236.0,0.236,0.24405377456049637
Pow,/job:localhost/replica:0/task:0/device:MUSA:0,113,5566.0,5.566,49.256637168141594
Prod,/job:localhost/replica:0/task:0/device:MUSA:0,62,8313.0,8.313,134.08064516129033
RandomUniform,/job:localhost/replica:0/task:0/device:MUSA:0,18,1266.0,1.266,70.33333333333333
RealDiv,/job:localhost/replica:0/task:0/device:MUSA:0,139,3593.0,3.593,25.848920863309353
Relu,/job:localhost/replica:0/task:0/device:MUSA:0,33,361.0,0.361,10.93939393939394
Reshape,/job:localhost/replica:0/task:0/device:MUSA:0,405,5951.0,5.951,14.693827160493827
Reshape,/job:localhost/replica:0/task:0/device:CPU:0,1,31.0,0.031,31.0
Round,/job:localhost/replica:0/task:0/device:MUSA:0,1,25.0,0.025,25.0
Rsqrt,/job:localhost/replica:0/task:0/device:MUSA:0,18,214.0,0.214,11.88888888888889
Rsqrt,/job:localhost/replica:0/task:0/device:CPU:0,1,2.0,0.002,2.0
Select,/job:localhost/replica:0/task:0/device:MUSA:0,35,2826.0,2.826,80.74285714285715
Select,/job:localhost/replica:0/task:0/device:CPU:0,2,2.0,0.002,1.0
Shape,/job:localhost/replica:0/task:0/device:MUSA:0,137,313.0,0.313,2.2846715328467155
Sigmoid,/job:localhost/replica:0/task:0/device:MUSA:0,21,4980.0,4.98,237.14285714285714
Slice,/job:localhost/replica:0/task:0/device:MUSA:0,1544,507836.0,507.836,328.90932642487047
Softmax,/job:localhost/replica:0/task:0/device:MUSA:0,2,44.0,0.044,22.0
Softplus,/job:localhost/replica:0/task:0/device:MUSA:0,1,42.0,0.042,42.0
Split,/job:localhost/replica:0/task:0/device:MUSA:0,12,577.0,0.577,48.083333333333336
SplitV,/job:localhost/replica:0/task:0/device:MUSA:0,14,314.0,0.314,22.428571428571427
Sqrt,/job:localhost/replica:0/task:0/device:MUSA:0,5,51.0,0.051,10.2
SquaredDifference,/job:localhost/replica:0/task:0/device:MUSA:0,17,1381.0,1.381,81.23529411764706
Squeeze,/job:localhost/replica:0/task:0/device:MUSA:0,4,4.0,0.004,1.0
StridedSlice,/job:localhost/replica:0/task:0/device:MUSA:0,21,6053.0,6.053,288.23809523809524
Sub,/job:localhost/replica:0/task:0/device:MUSA:0,106,2173.0,2.173,20.5
Sub,/job:localhost/replica:0/task:0/device:CPU:0,1,1.0,0.001,1.0
Sum,/job:localhost/replica:0/task:0/device:MUSA:0,15,3262.0,3.262,217.46666666666667
Switch,/job:localhost/replica:0/task:0/device:MUSA:0,27,24.0,0.024,0.8888888888888888
Switch,/job:localhost/replica:0/task:0/device:CPU:0,9,1.0,0.001,0.1111111111111111
Tanh,/job:localhost/replica:0/task:0/device:MUSA:0,9,1110.0,1.11,123.33333333333333
Tile,/job:localhost/replica:0/task:0/device:MUSA:0,12,167.0,0.167,13.916666666666666
Transpose,/job:localhost/replica:0/task:0/device:MUSA:0,8,97.0,0.097,12.125
Unknown,/job:localhost/replica:0/task:0/device:MUSA:0,1,0.0,0.0,0.0
Unknown,/job:localhost/replica:0/task:0/device:CPU:0,1,0.0,0.0,0.0
Unpack,/job:localhost/replica:0/task:0/device:MUSA:0,102,3188.0,3.188,31.254901960784313
ZerosLike,/job:localhost/replica:0/task:0/device:MUSA:0,18,377.0,0.377,20.944444444444443
